ST_RT_NO,CTY_CODE,JURIS,SEG_NO,LANE_CNT,STREET_NAME,TRAF_RT_NO_PREFIX,SIDE_IND,ROUTE_DIR,SPEED_LIMIT,STREET_NAME_NO_SUF,STREET_SUF,RTESIGNING,OBJECTID,GEOMETRYLEN
0279,02,1,0007,2,PENN LINCOLN PY,I,2,S,50,PENN LINCOLN ,PY,1,2296,0
0279,02,1,0009,2,FORT DUQUESNE BR,I,2,S,50,FORT DUQUESNE ,BR,1,2298,0
3027,02,1,0010,2,SMITHFIELD ST BR,,1,N,25,SMITHFIELD ST ,BR,2,3843,0
3027,02,1,0011,2,SMITHFIELD ST BR,,2,S,25,SMITHFIELD ST ,BR,2,3844,0
3027,02,1,0020,2,SMITHFIELD ST BR,,1,N,25,SMITHFIELD ST ,BR,2,3845,0
3027,02,1,0021,2,SMITHFIELD ST BR,,2,S,25,SMITHFIELD ST ,BR,2,3846,0
3027,02,1,0030,2,SMITHFIELD ST BR,,1,N,25,SMITHFIELD ST ,BR,2,3847,0
0065,02,1,0002,2,OHIO RIVER BL,PA,1,N,55,OHIO RIVER ,BL,2,2818529,0
0065,02,1,0003,2,OHIO RIVER BL,PA,2,S,55,OHIO RIVER ,BL,2,2818530,0
0279,02,1,0006,2,PENN LINCOLN PY,I,1,N,50,PENN LINCOLN ,PY,1,2818814,0
0279,02,1,0008,2,FORT DUQUESNE BR,I,1,N,50,FORT DUQUESNE ,BR,1,2818815,0
0376,02,1,0690,2,FORT PITT TN,I,1,E,55,FORT PITT ,TN,1,2818969,0
0376,02,1,0691,2,FORT PITT TN,I,2,W,55,FORT PITT ,TN,1,2818970,0
0376,02,1,0694,2,PENN LINCOLN PY,I,1,E,55,PENN LINCOLN ,PY,1,2818971,0
0376,02,1,0695,2,PENN LINCOLN PY,I,2,W,55,PENN LINCOLN ,PY,1,2818972,0
0376,02,1,0700,2,PENN LINCOLN PY,I,1,E,55,PENN LINCOLN ,PY,1,2818973,0
0376,02,1,0701,2,PENN LINCOLN PY,I,2,W,55,PENN LINCOLN ,PY,1,2818974,0
0376,02,1,0704,2,PENN LINCOLN PY,I,1,E,55,PENN LINCOLN ,PY,1,2818975,0
0376,02,1,0705,3,PENN LINCOLN PY,I,2,W,55,PENN LINCOLN ,PY,1,2818976,0
0376,02,1,0710,3,PENN LINCOLN PY,I,1,E,55,PENN LINCOLN ,PY,1,2818977,0
0376,02,1,0711,3,PENN LINCOLN PY,I,2,W,55,PENN LINCOLN ,PY,1,2818978,0
0400,02,1,0004,2,BIGELOW BL,PA,1,E,35,BIGELOW ,BL,2,2819033,0
0400,02,1,0005,2,BIGELOW BL,PA,2,W,35,BIGELOW ,BL,2,2819034,0
0400,02,1,0006,2,BIGELOW BL,PA,1,E,35,BIGELOW ,BL,2,2819035,0
0400,02,1,0007,2,BIGELOW BL,PA,2,W,35,BIGELOW ,BL,2,2819036,0
0579,02,1,0002,2,CROSSTOWN BL,I,1,N,55,CROSSTOWN ,BL,1,2819089,0
0579,02,1,0003,2,CROSSTOWN BL,I,2,S,55,CROSSTOWN ,BL,1,2819090,0
0579,02,1,0004,2,CROSSTOWN BL,I,1,N,55,CROSSTOWN ,BL,1,2819091,0
