FID,RMSTRAFFIC,ST_RT_NO,CTY_CODE,DISTRICT_N,JURIS,SEG_BGN,OFFSET_BGN,SEG_END,OFFSET_END,SEG_PT_BGN,SEG_PT_END,SEG_LNGTH_,SEQ_NO,CUR_AADT,ADTT_CUR,TRK_PCT,WKDY_TRK_C,ADLR_TRK_C,ADLF_TRK_C,BASE_YR_CL,BASE_ADT,ADTT_BASE,WKDY_TRK_B,ADLR_TRK_B,ADLF_TRK_B,BASE_ADT_Y,DLY_VMT,DLY_TRK_VM,K_FACTOR,D_FACTOR,T_FACTOR,VOL_CNT_KE,VOL_CNT_DA,RAW_CNT_HI,TRAFF_PATT,DUR_CLS_CN,TYPE_OF_CN,DIR_IND,MSLINK,MAPID,NLF_ID,SIDE_IND,NLF_CNTL_B,NLF_CNTL_E,CUM_OFFSET,CUM_OFFS_1,RECORD_UPD,GIS_UPDATE,GIS_GEOMET,GPID,GEOMETRY_L
17,02H13000100000004000005,H130,2,11,5,10,0,40,0,100000,400000,1795.0,1,6220,274,4,351,112,94,2019,6220,274,351,112,94,2019,2115,93,10,55,2,02H13000200001,20190716,2019301,03,6,1,O,163475,102278,74778,1,0,1795.0,0.0,1795.0,20191105,2019-11-05,2019-07-21,5305,719.4526997
59,02400900400315005000001,4009,2,11,1,40,315,50,0,400315,500000,1452.0,4,10235,409,4,524,251,193,2019,10235,409,524,251,193,2019,2815,112,11,55,2,02400900400500,20191119,2019327,05,24,3,B,121206,102278,586,1,7559,9011.0,7559.0,9011.0,20191124,2019-11-24,2019-07-21,5892,581.6297052
106,02101500310000003118451,1015,2,11,1,31,0,31,1845,310000,311845,1845.0,1,2416,169,7,217,228,158,2019,2416,169,217,228,158,2019,843,59,11,55,4,02101500200242,20190820,2019259,05,24,3,S,171443,102278,78595,2,0,1845.0,0.0,1845.0,20190922,2019-09-22,2019-07-21,5546,745.8291664
303,02001900100000002012711,0019,2,11,1,10,0,20,1271,100000,201271,3128.0,1,12577,784,6,1004,1244,819,2019,12577,784,1004,1244,819,2019,7446,464,9,53,7,02001900200020,20190709,2019214,03,24,2,N,120121,102278,134,1,0,3128.0,0.0,3128.0,20190811,2019-08-11,2019-07-21,5574,1268.4806199999998
476,02211600100000002026611,2116,2,11,1,10,0,20,2661,100000,202661,6399.0,1,2178,44,2,56,14,13,2019,2178,44,56,14,13,2019,2640,53,11,80,1,02211600201900,20190813,2019248,05,24,3,B,174350,102278,416,1,0,6399.0,0.0,6399.0,20190908,2019-09-08,2019-07-21,6998,2539.576353
591,02H89800100000001418485,H898,2,11,5,10,0,14,1848,100000,141848,2903.0,1,1045,52,5,67,36,27,2019,1045,52,67,36,27,2019,575,29,11,55,3,02H89800200001,20191016,2020023,05,24,3,B,186630,102278,13036,1,0,2903.0,0.0,2903.0,20200126,2020-01-26,2019-07-21,5089,1192.585791
715,02002804801320049013511,0028,2,11,1,480,1320,490,1351,4801320,4901351,1867.0,19,10667,708,7,906,733,507,2019,10667,708,906,733,507,2019,3776,251,9,62,5,10002800200000,20191003,2019336,03,24,2,N,140882,102278,150,1,125311,127178.0,125311.0,127178.0,20191208,2019-12-08,2019-11-05,2818,800.9661591
719,02088502201318025000001,0885,2,11,1,220,1318,250,0,2201318,2500000,4342.0,14,8457,511,6,654,510,358,2019,8457,511,654,510,358,2019,6952,420,9,81,5,02088502400374,20191009,2019345,03,24,2,N,144405,102278,213,1,44804,49146.0,44804.0,49146.0,20191215,2019-12-15,2019-11-05,2839,1749.502846
781,02001900110000002110211,0019,2,11,1,11,0,21,1021,110000,211021,3112.0,1,12411,788,6,1009,909,617,2019,12411,788,1009,909,617,2019,7310,464,9,53,7,02001900210020,20190709,2019214,03,24,2,S,128223,102278,139,2,0,3112.0,0.0,3112.0,20190811,2019-08-11,2019-07-21,1191,1274.9396800000002
821,02001901510000017100001,0019,2,11,1,151,0,171,0,1510000,1710000,3896.0,1,11678,232,2,297,103,84,2019,11678,232,297,103,84,2019,8618,171,10,55,1,02001901610989,20190529,2019317,03,6,1,S,186602,102278,140,2,0,3896.0,30001.0,33897.0,20191117,2019-11-17,2019-11-05,2476,1566.851018
862,02013000920255010203951,0130,2,11,1,92,255,102,395,920255,1020395,861.0,3,14903,1003,7,1284,401,339,2019,14903,1003,1284,401,339,2019,2429,163,7,51,6,02013001020190,20190815,2019236,03,24,2,B,148332,102278,182,1,19132,19993.0,19132.0,19993.0,20190825,2019-08-25,2019-07-21,1202,341.8489073
874,02088500910310011100001,0885,2,11,1,91,310,111,0,910310,1110000,6329.0,2,6985,294,4,376,279,200,2019,6985,294,376,279,200,2019,8375,353,11,55,2,02088501012000,20190725,2019331,05,6,1,S,148349,102278,214,2,310,6639.0,310.0,6639.0,20191201,2019-12-01,2019-07-21,1643,2534.4477469999997
936,02306300100000003001061,3063,2,11,1,10,0,30,106,100000,300106,6647.0,1,5917,237,4,303,176,132,2019,5917,237,303,176,132,2019,7450,298,11,70,2,02306300200010,20190717,2019214,05,24,3,B,113405,102278,510,1,0,6647.0,0.0,6647.0,20190811,2019-08-11,2019-11-05,3129,2667.821429
1054,02040002300385025014501,0400,2,11,1,230,385,250,1450,2300385,2501450,4712.0,7,12737,485,4,621,203,170,2019,12737,485,621,203,170,2019,11361,433,8,58,4,02040002400126,20190814,2019256,03,24,2,B,148344,102278,198,1,22088,26800.0,48136.0,52848.0,20190915,2019-09-15,2019-07-21,1675,1886.261045
1070,02306300300106003019001,3063,2,11,1,30,106,30,1900,300106,301900,1794.0,2,7761,155,2,198,65,55,2019,7761,155,198,65,55,2019,2639,53,11,55,1,02306300301562,20190717,2019214,05,24,3,B,113406,102278,510,1,6647,8441.0,6647.0,8441.0,20190811,2019-08-11,2019-11-05,3147,718.4542289
1164,02H92800400000005008975,H928,2,11,5,40,0,50,897,400000,500897,1794.0,2,1818,65,4,83,48,36,2019,1818,65,83,48,36,2019,618,22,10,53,8,02H92800500001,20190912,2019277,05,24,2,B,172071,102278,13039,1,2058,3852.0,2058.0,3852.0,20191006,2019-10-06,2019-07-21,3180,684.2475463999999
1171,02204600800000014004141,2046,2,11,1,80,0,140,414,800000,1400414,8196.0,5,8693,435,5,557,270,207,2019,8693,435,557,270,207,2019,13492,675,11,55,3,02204600901865,20190710,2019214,05,24,3,B,144407,102278,341,1,15293,23489.0,15293.0,23489.0,20190811,2019-08-11,2019-07-21,2527,3284.498305
1192,02001904201895043017551,0019,2,11,1,420,1895,430,1755,4201895,4301755,2253.0,4,10528,411,4,526,165,139,2019,10528,411,526,165,139,2019,4495,175,9,53,5,02001904300575,20191016,2019324,05,24,2,B,144477,102278,71102,1,20373,22626.0,81669.0,83922.0,20191124,2019-11-24,2019-08-28,1680,906.4372450999999
1297,02003003210905034100001,0030,2,11,1,321,905,341,0,3210905,3410000,4081.0,9,12070,1017,8,1302,562,437,2019,12070,1017,1302,562,437,2019,9330,786,8,62,9,02003003211752,20191008,2019317,03,24,2,W,142223,102278,154,2,33449,37530.0,34231.0,38312.0,20191117,2019-11-17,2019-07-21,2808,1621.437886
1330,02006000900000011000001,0060,2,11,1,90,0,110,0,900000,1100000,4948.0,6,11731,628,5,804,488,360,2019,11731,628,804,488,360,2019,10992,588,8,58,4,02006001001500,20191030,2019331,03,24,2,B,151281,102278,168,1,17217,22165.0,17217.0,22165.0,20191201,2019-12-01,2019-07-21,1854,1978.7294739999998
1361,02405500100000001028781,4055,2,11,1,10,0,10,2878,100000,102878,2878.0,1,121,6,5,8,2,2,2019,121,6,8,2,2,2019,66,3,11,55,3,02405500101800,20190905,2019277,05,24,3,B,194470,102278,644,1,0,2878.0,0.0,2878.0,20191006,2019-10-06,2019-07-21,10166,1117.112819
1382,02013003322620034215771,0130,2,11,1,332,2620,342,1577,3322620,3421577,1727.0,12,7055,246,3,315,133,105,2019,7055,246,315,133,105,2019,2307,80,9,66,3,02013003421000,20190808,2019242,05,24,2,B,159709,102278,182,1,70290,72017.0,70290.0,72017.0,20190901,2019-09-01,2019-11-05,10194,698.6851528
1409,02301700600000007017201,3017,2,11,1,60,0,70,1720,600000,701720,2850.0,3,189,9,5,12,3,3,2019,189,9,12,3,3,2019,102,5,11,55,3,02301700700000,20190723,2019232,05,24,3,B,166796,102278,446,1,13550,16400.0,13550.0,16400.0,20190825,2019-08-25,2019-07-21,10230,1026.967009
1445,02103400720000007205181,1034,2,11,1,72,0,72,518,720000,720518,518.0,6,1316,53,4,67,43,31,2019,1316,53,67,43,31,2019,129,5,11,65,2,02103400600792,20190822,2019259,05,24,3,E,154000,102278,280,1,20659,21177.0,20659.0,21177.0,20200105,2020-01-05,2019-07-21,11139,210.8365498
1475,02101400600000006021181,1014,2,11,1,60,0,60,2118,600000,602118,2118.0,4,4261,298,7,382,385,248,2019,4261,298,382,385,248,2019,1709,119,11,55,3,02101400540850,20191016,2019340,05,23,3,B,155746,102278,252,1,4915,7033.0,9331.0,11449.0,20191208,2019-12-08,2019-07-21,10718,849.5694146
1519,02H65500200000002004755,H655,2,11,5,20,0,20,475,200000,200475,475.0,1,3271,33,1,42,8,8,2019,3271,33,42,8,8,2019,294,3,11,55,1,02H65500100001,20190716,2019210,05,24,3,B,191151,102278,61983,1,0,475.0,8289.0,8764.0,20190811,2019-08-11,2019-07-21,9816,188.68941840000002
1694,02203300100000001032981,2033,2,11,1,10,0,10,3298,100000,103298,3298.0,1,2049,102,5,131,62,48,2019,2049,102,131,62,48,2019,1281,64,11,55,3,02203300102500,20190801,2019228,05,24,3,B,123858,102278,320,1,0,3298.0,0.0,3298.0,20190818,2019-08-18,2019-07-21,10777,1315.062534
1781,02001904700000047013051,0019,2,11,1,470,0,470,1305,4700000,4701305,1305.0,6,12389,264,2,338,101,87,2019,12389,264,338,101,87,2019,3060,65,11,55,1,02001904700500,20190722,2019331,05,6,1,B,47214,102278,71102,1,30744,32049.0,92040.0,93345.0,20191201,2019-12-01,2019-08-28,10468,527.8280745
1788,02H30200100000001018485,H302,2,11,5,10,0,10,1848,100000,101848,1848.0,1,1612,66,4,84,20,19,2019,1612,66,84,20,19,2019,564,23,9,62,6,02H30200100001,20190718,2020016,05,24,2,B,129304,102278,41399,1,0,1848.0,0.0,1848.0,20200119,2020-01-19,2019-07-21,12335,763.9097317000001
1857,02000802810515029100001,0008,2,11,1,281,515,291,0,2810515,2910000,2959.0,3,9694,576,6,737,432,318,2019,9694,576,737,432,318,2019,5429,323,10,55,2,02000802812000,20190715,2019323,03,6,1,S,47162,102278,81038,2,19602,22561.0,44520.0,47479.0,20191222,2019-12-22,2019-12-22,11875,1184.925244
1917,02037606501845067009371,0376,2,11,1,650,1845,670,937,6501845,6700937,9666.0,11,39627,3519,9,4504,2125,1609,2019,39627,3519,4504,2125,1609,2019,72557,6443,6,53,9,02037606600100,20190926,2019294,01,24,2,E,151156,102278,66092,1,85257,94923.0,85257.0,94923.0,20191027,2019-10-27,2019-07-21,12311,3790.574698
1946,02002804811180049113331,0028,2,11,1,481,1180,491,1333,4811180,4911333,1704.0,18,10988,739,7,946,894,608,2019,10988,739,946,894,608,2019,3549,239,9,62,5,10002800210000,20191003,2019336,03,24,2,S,194460,102278,151,2,125255,126959.0,125255.0,126959.0,20191208,2019-12-08,2019-07-21,9416,732.4008043
2030,02401900200000005026701,4019,2,11,1,20,0,50,2670,200000,502670,8204.0,1,11534,231,2,296,110,89,2019,11534,231,296,110,89,2019,17924,359,11,55,1,02401900300264,20190904,2019273,05,24,3,B,151170,102278,601,1,0,8204.0,3449.0,11653.0,20191006,2019-10-06,2019-08-28,12325,3290.477543
2033,02101400550627005509361,1014,2,11,1,55,627,55,936,550627,550936,309.0,2,2087,146,7,187,186,120,2019,2087,146,187,186,120,2019,123,9,11,55,3,02101400550850,20191016,2019340,05,23,3,W,155745,102278,61028,2,627,936.0,2346.0,2655.0,20191208,2019-12-08,2019-07-21,12328,129.5079929
